
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,9;
;Saúde;0,5;
;Transportes;-1,5;
;Comunicações;3,1;
;Lazer, recreação e cultura;-1,9;
;Educação;0,6;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;-0,1;
Agosto de 2015;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,8;
;Saúde;0,5;
;Transportes;-1,5;
;Comunicações;2,6;
;Lazer, recreação e cultura;-2;
;Educação;0,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;-0,2;
Julho de 2015;Total;0,2;
;Produtos alimentares e bebidas não alcoólicas;0;
;Bebidas alcoólicas e tabaco;3,6;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,6;
;Saúde;0,5;
;Transportes;-1,3;
;Comunicações;2,2;
;Lazer, recreação e cultura;-2;
;Educação;0,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;-0,3;
Junho de 2015;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;-0,4;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,5;
;Saúde;0,6;
;Transportes;-1,2;
;Comunicações;1,9;
;Lazer, recreação e cultura;-2,1;
;Educação;0,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;-0,4;
Maio de 2015;Total;0;
;Produtos alimentares e bebidas não alcoólicas;-0,8;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,3;
;Saúde;0,6;
;Transportes;-1,2;
;Comunicações;1,5;
;Lazer, recreação e cultura;-2,1;
;Educação;0,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;-0,4;
Abril de 2015;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-1,1;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,2;
;Saúde;0,6;
;Transportes;-1,4;
;Comunicações;1,3;
;Lazer, recreação e cultura;-2,1;
;Educação;0,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;-0,5;
Março de 2015;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-1,3;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,1;
;Saúde;0,5;
;Transportes;-1,2;
;Comunicações;1,2;
;Lazer, recreação e cultura;-2;
;Educação;0,5;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;-0,5;
Fevereiro de 2015;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;-1,4;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,1;
;Saúde;0,6;
;Transportes;-1,5;
;Comunicações;1;
;Lazer, recreação e cultura;-2;
;Educação;0,5;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;-0,5;
Janeiro de 2015;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;-1,4;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;0,6;
;Transportes;-1,5;
;Comunicações;1;
;Lazer, recreação e cultura;-1,8;
;Educação;0,5;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;-0,5;
Dezembro de 2014;Total;-0,2;
;Produtos alimentares e bebidas não alcoólicas;-1,3;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;0,7;
;Transportes;-1,2;
;Comunicações;1,2;
;Lazer, recreação e cultura;-1,8;
;Educação;0,4;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;-0,5;
Novembro de 2014;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-1,3;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,9;
;Transportes;-0,9;
;Comunicações;1,3;
;Lazer, recreação e cultura;-1,7;
;Educação;0,4;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;-0,5;
Outubro de 2014;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-1,2;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-2,3;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,8;
;Saúde;1,1;
;Transportes;-1;
;Comunicações;1,4;
;Lazer, recreação e cultura;-1,5;
;Educação;0,4;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;-0,6;
Setembro de 2014;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-1,1;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,9;
;Saúde;1,3;
;Transportes;-1,1;
;Comunicações;1,5;
;Lazer, recreação e cultura;-1,4;
;Educação;0,4;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;-0,6;
Agosto de 2014;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-0,7;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,5;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,9;
;Saúde;1,6;
;Transportes;-1,2;
;Comunicações;1,6;
;Lazer, recreação e cultura;-1,2;
;Educação;0,5;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;-0,6;
Julho de 2014;Total;-0,1;
;Produtos alimentares e bebidas não alcoólicas;-0,2;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,6;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,9;
;Saúde;1,8;
;Transportes;-1,5;
;Comunicações;1,6;
;Lazer, recreação e cultura;-1,2;
;Educação;0,6;
;Restaurantes e hotéis;1,1;
;Bens e serviços diversos;-0,7;
Junho de 2014;Total;0;
;Produtos alimentares e bebidas não alcoólicas;0,2;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,9;
;Saúde;2;
;Transportes;-1,5;
;Comunicações;1,6;
;Lazer, recreação e cultura;-1;
;Educação;0,6;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;-0,8;
Maio de 2014;Total;0,2;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;3,4;
;Vestuário e calçado;-2,3;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,8;
;Saúde;2,1;
;Transportes;-1,6;
;Comunicações;1,6;
;Lazer, recreação e cultura;-0,8;
;Educação;0,7;
;Restaurantes e hotéis;1,3;
;Bens e serviços diversos;-0,8;
Abril de 2014;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-2,5;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,8;
;Saúde;2,3;
;Transportes;-1,8;
;Comunicações;1,5;
;Lazer, recreação e cultura;-0,5;
;Educação;0,8;
;Restaurantes e hotéis;1,3;
;Bens e serviços diversos;-0,7;
Março de 2014;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;-2,6;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,7;
;Saúde;2,3;
;Transportes;-2,1;
;Comunicações;1,4;
;Lazer, recreação e cultura;-0,3;
;Educação;0,9;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;-0,7;
Fevereiro de 2014;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;1,6;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;-2,9;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;2,2;
;Transportes;-1,9;
;Comunicações;1,2;
;Lazer, recreação e cultura;0;
;Educação;1;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;-0,6;
Janeiro de 2014;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;1,9;
;Transportes;-1,7;
;Comunicações;0,9;
;Lazer, recreação e cultura;0,2;
;Educação;1,1;
;Restaurantes e hotéis;1,7;
;Bens e serviços diversos;-0,6;
Dezembro de 2013;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;1,9;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1,6;
;Transportes;-1,6;
;Comunicações;0,5;
;Lazer, recreação e cultura;0,6;
;Educação;1,2;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;-0,6;
Novembro de 2013;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;2,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1,2;
;Transportes;-1,4;
;Comunicações;0,4;
;Lazer, recreação e cultura;0,9;
;Educação;1,3;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;-0,5;
Outubro de 2013;Total;0,8;
;Produtos alimentares e bebidas não alcoólicas;2,4;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;2,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;0,7;
;Transportes;-1;
;Comunicações;0,4;
;Lazer, recreação e cultura;1,1;
;Educação;1,4;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;-0,4;
Setembro de 2013;Total;0,9;
;Produtos alimentares e bebidas não alcoólicas;2,6;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;-4;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;0,3;
;Transportes;-0,5;
;Comunicações;0,3;
;Lazer, recreação e cultura;1,4;
;Educação;1,4;
;Restaurantes e hotéis;2,6;
;Bens e serviços diversos;-0,3;
Agosto de 2013;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;-4,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;-0,2;
;Transportes;0;
;Comunicações;0,3;
;Lazer, recreação e cultura;1,6;
;Educação;1,4;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;-0,1;
Julho de 2013;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;4,5;
;Vestuário e calçado;-4,6;
;Habitação, água, electricidade, gás e outros combustíveis;4,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;-0,6;
;Transportes;0,6;
;Comunicações;0,3;
;Lazer, recreação e cultura;1,9;
;Educação;1,4;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;0,1;
Junho de 2013;Total;1,6;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;-4,9;
;Habitação, água, electricidade, gás e outros combustíveis;5,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-1;
;Transportes;0,7;
;Comunicações;0,2;
;Lazer, recreação e cultura;2;
;Educação;1,4;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;0,3;
Maio de 2013;Total;1,7;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;-5;
;Habitação, água, electricidade, gás e outros combustíveis;5,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-1,3;
;Transportes;1;
;Comunicações;0,2;
;Lazer, recreação e cultura;1,9;
;Educação;1,4;
;Restaurantes e hotéis;3,3;
;Bens e serviços diversos;0,4;
Abril de 2013;Total;1,8;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;4,9;
;Vestuário e calçado;-5,2;
;Habitação, água, electricidade, gás e outros combustíveis;6,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-1,4;
;Transportes;1,5;
;Comunicações;0,2;
;Lazer, recreação e cultura;1,8;
;Educação;1,5;
;Restaurantes e hotéis;3,4;
;Bens e serviços diversos;0,5;
Março de 2013;Total;2;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;5;
;Vestuário e calçado;-5,4;
;Habitação, água, electricidade, gás e outros combustíveis;7,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-1,2;
;Transportes;2,1;
;Comunicações;0,2;
;Lazer, recreação e cultura;1,7;
;Educação;1,5;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;0,6;
Fevereiro de 2013;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;3;
;Bebidas alcoólicas e tabaco;5;
;Vestuário e calçado;-5,5;
;Habitação, água, electricidade, gás e outros combustíveis;7,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-0,9;
;Transportes;2,6;
;Comunicações;0,3;
;Lazer, recreação e cultura;1,5;
;Educação;1,5;
;Restaurantes e hotéis;3,6;
;Bens e serviços diversos;0,8;
Janeiro de 2013;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;-5,4;
;Habitação, água, electricidade, gás e outros combustíveis;8,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;-0,4;
;Transportes;3,1;
;Comunicações;0,3;
;Lazer, recreação e cultura;1,5;
;Educação;1,5;
;Restaurantes e hotéis;3,8;
;Bens e serviços diversos;0,9;
Dezembro de 2012;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;3,2;
;Bebidas alcoólicas e tabaco;4,7;
;Vestuário e calçado;-5,2;
;Habitação, água, electricidade, gás e outros combustíveis;8,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,4;
;Transportes;3,4;
;Comunicações;0,5;
;Lazer, recreação e cultura;1,2;
;Educação;1,5;
;Restaurantes e hotéis;3,8;
;Bens e serviços diversos;1,1;
Novembro de 2012;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;-5,1;
;Habitação, água, electricidade, gás e outros combustíveis;9,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;1,1;
;Transportes;3,8;
;Comunicações;0,6;
;Lazer, recreação e cultura;1,1;
;Educação;1,5;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;1,2;
Outubro de 2012;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;3;
;Bebidas alcoólicas e tabaco;4,9;
;Vestuário e calçado;-4,8;
;Habitação, água, electricidade, gás e outros combustíveis;9,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;1,7;
;Transportes;4,3;
;Comunicações;0,7;
;Lazer, recreação e cultura;0,9;
;Educação;1,6;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;1,3;
Setembro de 2012;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;5,1;
;Vestuário e calçado;-4,4;
;Habitação, água, electricidade, gás e outros combustíveis;10,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0;
;Saúde;2,4;
;Transportes;4,8;
;Comunicações;0,8;
;Lazer, recreação e cultura;0,7;
;Educação;1,6;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;1,4;
Agosto de 2012;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;2,8;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;-3,9;
;Habitação, água, electricidade, gás e outros combustíveis;9,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,1;
;Saúde;3;
;Transportes;5,2;
;Comunicações;1;
;Lazer, recreação e cultura;0,4;
;Educação;1,6;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;1,5;
Julho de 2012;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;5,5;
;Vestuário e calçado;-4,5;
;Habitação, água, electricidade, gás e outros combustíveis;9,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,3;
;Saúde;3,6;
;Transportes;5,6;
;Comunicações;1,1;
;Lazer, recreação e cultura;0,3;
;Educação;1,7;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;1,5;
Junho de 2012;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;2,5;
;Bebidas alcoólicas e tabaco;5,7;
;Vestuário e calçado;-4,7;
;Habitação, água, electricidade, gás e outros combustíveis;8,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,5;
;Saúde;4,2;
;Transportes;6,1;
;Comunicações;1,3;
;Lazer, recreação e cultura;0,3;
;Educação;1,8;
;Restaurantes e hotéis;1,7;
;Bens e serviços diversos;1,6;
Maio de 2012;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;6,1;
;Vestuário e calçado;-4,4;
;Habitação, água, electricidade, gás e outros combustíveis;8,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;4,4;
;Transportes;6,7;
;Comunicações;1,5;
;Lazer, recreação e cultura;0,4;
;Educação;1,8;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;1,7;
Abril de 2012;Total;3,4;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;6,5;
;Vestuário e calçado;-4,1;
;Habitação, água, electricidade, gás e outros combustíveis;7,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,8;
;Saúde;4,6;
;Transportes;7,3;
;Comunicações;1,8;
;Lazer, recreação e cultura;0,6;
;Educação;1,9;
;Restaurantes e hotéis;1,1;
;Bens e serviços diversos;1,8;
Março de 2012;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;6,9;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;7,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,9;
;Saúde;4,8;
;Transportes;7,9;
;Comunicações;2,2;
;Lazer, recreação e cultura;0,7;
;Educação;1,9;
;Restaurantes e hotéis;0,9;
;Bens e serviços diversos;1,8;
Fevereiro de 2012;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;7,3;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;7,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1;
;Saúde;4,8;
;Transportes;8,2;
;Comunicações;2,5;
;Lazer, recreação e cultura;0,9;
;Educação;2;
;Restaurantes e hotéis;0,8;
;Bens e serviços diversos;1,9;
Janeiro de 2012;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;7,8;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;6,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;4,7;
;Transportes;8,6;
;Comunicações;2,8;
;Lazer, recreação e cultura;1;
;Educação;2;
;Restaurantes e hotéis;0,7;
;Bens e serviços diversos;1,8;
Dezembro de 2011;Total;3,6;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;7,9;
;Vestuário e calçado;-3,9;
;Habitação, água, electricidade, gás e outros combustíveis;6,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;4,5;
;Transportes;9;
;Comunicações;3;
;Lazer, recreação e cultura;1,3;
;Educação;2,1;
;Restaurantes e hotéis;0,7;
;Bens e serviços diversos;1,8;
Novembro de 2011;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;8,1;
;Vestuário e calçado;-3,8;
;Habitação, água, electricidade, gás e outros combustíveis;6,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;3,7;
;Transportes;9,1;
;Comunicações;2,6;
;Lazer, recreação e cultura;1,2;
;Educação;2,1;
;Restaurantes e hotéis;0,8;
;Bens e serviços diversos;1,7;
Outubro de 2011;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;8;
;Vestuário e calçado;-3,8;
;Habitação, água, electricidade, gás e outros combustíveis;5,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;3,2;
;Transportes;8,8;
;Comunicações;2,3;
;Lazer, recreação e cultura;1,3;
;Educação;2,1;
;Restaurantes e hotéis;0,9;
;Bens e serviços diversos;1,7;
Setembro de 2011;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;7,8;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;5,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;2,6;
;Transportes;8,4;
;Comunicações;2;
;Lazer, recreação e cultura;1,3;
;Educação;2,1;
;Restaurantes e hotéis;1;
;Bens e serviços diversos;1,6;
Agosto de 2011;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;7,7;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;5,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;2;
;Transportes;8;
;Comunicações;1,6;
;Lazer, recreação e cultura;1,4;
;Educação;2,2;
;Restaurantes e hotéis;1,1;
;Bens e serviços diversos;1,5;
Julho de 2011;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,4;
;Bebidas alcoólicas e tabaco;7,4;
;Vestuário e calçado;-3;
;Habitação, água, electricidade, gás e outros combustíveis;5,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1,6;
;Transportes;7,5;
;Comunicações;1,2;
;Lazer, recreação e cultura;1,5;
;Educação;2,3;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;1,3;
Junho de 2011;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;2,4;
;Bebidas alcoólicas e tabaco;7;
;Vestuário e calçado;-2,5;
;Habitação, água, electricidade, gás e outros combustíveis;5,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1,1;
;Transportes;7,2;
;Comunicações;0,9;
;Lazer, recreação e cultura;1,5;
;Educação;2,3;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;1,2;
Maio de 2011;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;6,4;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;5,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;0,9;
;Transportes;6,7;
;Comunicações;0,4;
;Lazer, recreação e cultura;1,2;
;Educação;2,4;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;1,1;
Abril de 2011;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,9;
;Bebidas alcoólicas e tabaco;5,8;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;5,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;0,5;
;Transportes;6,3;
;Comunicações;-0,1;
;Lazer, recreação e cultura;0,9;
;Educação;2,5;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;0,9;
Março de 2011;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;5,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;0;
;Transportes;5,8;
;Comunicações;-0,7;
;Lazer, recreação e cultura;0,5;
;Educação;2,5;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,7;
Fevereiro de 2011;Total;2;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,4;
;Saúde;-0,4;
;Transportes;5,4;
;Comunicações;-1,4;
;Lazer, recreação e cultura;0,1;
;Educação;2,6;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,6;
Janeiro de 2011;Total;1,7;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;4,5;
;Vestuário e calçado;-2;
